t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.057200,12.000000,7.060547,92.038847,7.049134,82.391548
0.057400,12.000000,7.038574,76.699039,7.039622,82.639865
0.057600,12.000000,7.023926,76.699039,7.030124,82.887823
0.057800,12.000000,7.016602,92.038847,7.020639,83.135424
0.058000,12.000000,7.001953,76.699039,7.011168,83.382668
0.058200,12.000000,7.009277,92.038847,7.001711,83.629556
0.058400,12.000000,7.038574,76.699039,6.992267,83.876087
0.058600,12.000000,6.906738,92.038847,6.982837,84.122263
0.058800,12.000000,6.965332,76.699039,6.973421,84.368084
0.059000,12.000000,6.972656,92.038847,6.964018,84.613550
0.059200,12.000000,6.965332,76.699039,6.954629,84.858663
0.059400,12.000000,6.936035,92.038847,6.945253,85.103422
0.059600,12.000000,6.884766,76.699039,6.935891,85.347828
0.059800,12.000000,6.936035,92.038847,6.926542,85.591882
0.060000,12.000000,6.972656,76.699039,6.917207,85.835583
0.060200,12.000000,6.862793,92.038847,6.907885,86.078934
0.060400,12.000000,6.921387,92.038847,6.898577,86.321933
0.060600,12.000000,6.877441,76.699039,6.889282,86.564582
0.060800,12.000000,6.877441,92.038847,6.880000,86.806881
0.061000,12.000000,6.840820,92.038847,6.870732,87.048831
0.061200,12.000000,6.848145,76.699039,6.861477,87.290432
0.061400,12.000000,6.892090,92.038847,6.852236,87.531684
0.061600,12.000000,6.862793,92.038847,6.843008,87.772589
0.061800,12.000000,6.884766,76.699039,6.833793,88.013146
0.062000,12.000000,6.862793,92.038847,6.824591,88.253357
0.062200,12.000000,6.826172,92.038847,6.815403,88.493220
0.062400,12.000000,6.855469,92.038847,6.806228,88.732739
0.062600,12.000000,6.811523,92.038847,6.797066,88.971911
0.062800,12.000000,6.811523,76.699039,6.787918,89.210739
0.063000,12.000000,6.767578,92.038847,6.778782,89.449223
0.063200,12.000000,6.774902,92.038847,6.769660,89.687362
0.063400,12.000000,6.738281,92.038847,6.760551,89.925158
0.063600,12.000000,6.782227,92.038847,6.751455,90.162611
0.063800,12.000000,6.708984,92.038847,6.742372,90.399722
0.064000,12.000000,6.760254,76.699039,6.733303,90.636491
0.064200,12.000000,6.716309,92.038847,6.724246,90.872919
0.064400,12.000000,6.752930,92.038847,6.715202,91.109005
0.064600,12.000000,6.730957,92.038847,6.706172,91.344752
0.064800,12.000000,6.752930,92.038847,6.697154,91.580158
0.065000,12.000000,6.708984,92.038847,6.688150,91.815225
0.065200,12.000000,6.628418,92.038847,6.679158,92.049952
0.065400,12.000000,6.665039,92.038847,6.670180,92.284342
0.065600,12.000000,6.628418,92.038847,6.661214,92.518393
0.065800,12.000000,6.635742,92.038847,6.652262,92.752107
0.066000,12.000000,6.687012,92.038847,6.643322,92.985484
0.066200,12.000000,6.650391,92.038847,6.634395,93.218524
0.066400,12.000000,6.606445,92.038847,6.625481,93.451229
0.066600,12.000000,6.584473,107.378655,6.616580,93.683597
0.066800,12.000000,6.606445,92.038847,6.607692,93.915631
0.067000,12.000000,6.562500,92.038847,6.598816,94.147330
0.067200,12.000000,6.569824,92.038847,6.589953,94.378695
0.067400,12.000000,6.591797,92.038847,6.581103,94.609726
0.067600,12.000000,6.606445,92.038847,6.572266,94.840425
0.067800,12.000000,6.584473,107.378655,6.563442,95.070790
0.068000,12.000000,6.489258,92.038847,6.554630,95.300823
0.068200,12.000000,6.555176,92.038847,6.545831,95.530525
0.068400,12.000000,6.540527,92.038847,6.537045,95.759896
0.068600,12.000000,6.540527,92.038847,6.528271,95.988935
0.068800,12.000000,6.569824,107.378655,6.519510,96.217645
0.069000,12.000000,6.445312,92.038847,6.510762,96.446024
0.069200,12.000000,6.481934,92.038847,6.502026,96.674075
0.069400,12.000000,6.511230,107.378655,6.493303,96.901796
0.069600,12.000000,6.437988,92.038847,6.484593,97.129189
0.069800,12.000000,6.518555,92.038847,6.475895,97.356254
0.070000,12.000000,6.474609,107.378655,6.467209,97.582992
0.070200,12.000000,6.481934,92.038847,6.458536,97.809403
0.070400,12.000000,6.430664,92.038847,6.449876,98.035487
0.070600,12.000000,6.467285,107.378655,6.441228,98.261246
0.070800,12.000000,6.467285,92.038847,6.432592,98.486678
0.071000,12.000000,6.430664,107.378655,6.423969,98.711786
0.071200,12.000000,6.423340,92.038847,6.415359,98.936569
0.071400,12.000000,6.416016,92.038847,6.406761,99.161028
0.071600,12.000000,6.372070,107.378655,6.398175,99.385164
0.071800,12.000000,6.386719,92.038847,6.389602,99.608976
0.072000,12.000000,6.379395,107.378655,6.381041,99.832465
0.072200,12.000000,6.386719,92.038847,6.372492,100.055632
0.072400,12.000000,6.394043,107.378655,6.363956,100.278478
0.072600,12.000000,6.320801,107.378655,6.355432,100.501002
0.072800,12.000000,6.342773,92.038847,6.346920,100.723205
0.073000,12.000000,6.379395,107.378655,6.338420,100.945087
0.073200,12.000000,6.306152,92.038847,6.329933,101.166650
0.073400,12.000000,6.298828,107.378655,6.321458,101.387893
0.073600,12.000000,6.320801,92.038847,6.312995,101.608818
0.073800,12.000000,6.328125,107.378655,6.304545,101.829423
0.074000,12.000000,6.298828,107.378655,6.296107,102.049711
0.074200,12.000000,6.328125,92.038847,6.287680,102.269681
0.074400,12.000000,6.306152,107.378655,6.279266,102.489333
0.074600,12.000000,6.298828,107.378655,6.270864,102.708669
0.074800,12.000000,6.276855,92.038847,6.262475,102.927689
0.075000,12.000000,6.320801,107.378655,6.254097,103.146393
0.075200,12.000000,6.240234,107.378655,6.245731,103.364781
0.075400,12.000000,6.174316,107.378655,6.237378,103.582855
0.075600,12.000000,6.276855,92.038847,6.229036,103.800614
0.075800,12.000000,6.203613,107.378655,6.220707,104.018059
0.076000,12.000000,6.218262,107.378655,6.212389,104.235191
